source,target,weight
Guwahati,Facility/Infrastructure Attack,1
Guwahati,Hostage Taking (Kidnapping),1
Habba Kadal,Bombing/Explosion,1
Habback,Bombing/Explosion,1
Haflong,Facility/Infrastructure Attack,4
Hailakandi,Armed Assault,1
Hailakandi,Unknown,1
Hajan Township,Assassination,1
Hajn,Armed Assault,1
Hajo,Bombing/Explosion,1
Halewara,Bombing/Explosion,1
Halfong,Hostage Taking (Kidnapping),1
Hallian,Bombing/Explosion,1
Handawar,Armed Assault,1
Handwara,Assassination,1
Handwara,Bombing/Explosion,1
Hangalpawa,Bombing/Explosion,1
Hardumadam,Armed Assault,1
Hari,Assassination,1
Haribandi,Armed Assault,1
Hari-Bhudda,Armed Assault,1
Hasker,Armed Assault,1
Hathikhali,Armed Assault,1
Hawraghat,Bombing/Explosion,1
Hazaribag,Armed Assault,1
Hazaribag,Bombing/Explosion,1
Hazaribag,Hostage Taking (Kidnapping),2
Hazaribag,Unknown,1
Hazrapara,Armed Assault,1
Hiranagar,Armed Assault,1
Hiroli,Armed Assault,1
Howrah,Bombing/Explosion,2
Howrah,Facility/Infrastructure Attack,1
Howrah,Unarmed Assault,1
Hubbi,Armed Assault,1
Hubli,Bombing/Explosion,2
Hyderabad,Armed Assault,1
Hyderabad,Bombing/Explosion,5
Hyderabad,Hostage Taking (Kidnapping),1
Hyderpora,Bombing/Explosion,1
Ichum Lairembi,Bombing/Explosion,1
Imphal,Armed Assault,28
Imphal,Assassination,1
Imphal,Bombing/Explosion,78
Imphal,Facility/Infrastructure Attack,2
Imphal,Hijacking,1
Imphal,Hostage Taking (Kidnapping),10
Imphal West District,Bombing/Explosion,1
Indeh,Armed Assault,1
Indh,Bombing/Explosion,1
Iptagura,Armed Assault,1
Iqbal Nagar,Armed Assault,1
Isaipet,Facility/Infrastructure Attack,1
Ishber,Armed Assault,1
Itanagar,Hostage Taking (Kidnapping),1
Jagpura,Bombing/Explosion,1
Jagra,Armed Assault,1
Jaintia,Bombing/Explosion,1
Jaintia,Facility/Infrastructure Attack,1
Jaktial,Assassination,1
Jalabela,Armed Assault,1
Jalandhar,Armed Assault,1
Jalna,Bombing/Explosion,1
Jalpaiguri,Armed Assault,1
Jalpaiguri,Bombing/Explosion,2
Jalpaiguri,Unknown,1
Jamalsan,Armed Assault,1
Jammu,Armed Assault,8
Jammu,Assassination,1
Jammu,Bombing/Explosion,16
Jammu,Facility/Infrastructure Attack,1
Jammu,Hostage Taking (Kidnapping),2
Jampui,Hostage Taking (Kidnapping),1
Jampuijala,Assassination,1
Jamsalan,Armed Assault,1
Jamshedpur,Facility/Infrastructure Attack,1
Jamslam,Armed Assault,1
Jamui,Armed Assault,2
Jamui,Bombing/Explosion,6
Jamui,Hostage Taking (Kidnapping),1
Janbazpora,Bombing/Explosion,1
Jaunpur,Bombing/Explosion,1
Jehanabad,Armed Assault,1
Jehanabad,Facility/Infrastructure Attack,1
Jirania,Armed Assault,1
Jirania,Hostage Taking (Kidnapping),1
Jobat,Unarmed Assault,1
Jonai,Bombing/Explosion,1
Jorhat,Armed Assault,1
Jullundur,Bombing/Explosion,1
Kachnara,Assassination,1
Kachumuqam,Assassination,1
Kagajnagar,Bombing/Explosion,1
Kahleel,Bombing/Explosion,1
Kailasahar Subdivision,Hostage Taking (Kidnapping),1
Kakogam,Armed Assault,1
Kakotibari,Bombing/Explosion,1
Kalaroos,Armed Assault,1
Kalimela,Facility/Infrastructure Attack,1
Kalimpong,Assassination,1
Kaller-Katal,Hostage Taking (Kidnapping),1
Kaloosa,Bombing/Explosion,1
Kaluchak,Armed Assault,1
Kamakhya-Guri,Bombing/Explosion,1
Kamareddy,Bombing/Explosion,1
Kamrup,Bombing/Explosion,7
Kamrup,Hostage Taking (Kidnapping),1
Kanchanpur,Armed Assault,1
Kanchkir village,Bombing/Explosion,2
Kandhamal,Armed Assault,4
Kandhamal,Bombing/Explosion,5
Kandhamal,Hostage Taking (Kidnapping),1
Kandi,Armed Assault,1
Kangan,Assassination,2
Kangan,Bombing/Explosion,1
Kanihama,Armed Assault,1
Kanker,Armed Assault,5
Kanker,Bombing/Explosion,2
Kanker,Hostage Taking (Kidnapping),3
Kannur,Armed Assault,1
Kannur,Bombing/Explosion,1
Kantakobrapara,Armed Assault,1
Kanthol,Armed Assault,1
Kanthpora Sogam,Hostage Taking (Kidnapping),1
Karachi,Armed Assault,1
Karampeda,Bombing/Explosion,1
Karan Nagar,Armed Assault,1
Karbi Anglong,Armed Assault,7
Karbi Anglong,Bombing/Explosion,14
Karbi Anglong,Unknown,2
Karimnagar,Armed Assault,2
