Laxmipur,23.858353,91.37104,Bombing,Transportation
North Cachar Hills,25.3478,93.017571,Bombing,Police
North Cachar Hills,25.3478,93.017571,Bombing,Police
Chatra,24.206508,84.872428,Armed Assault,Business
Malkangiri,18.343586,81.882528,Armed Assault,Business
Malkangiri,18.343586,81.882528,Bombing,Educational Institution
Midnapore,22.430889,87.321491,Kidnapping,Private Citizens & Property
Bijapur,16.830171,75.710031,Armed Assault,Private Citizens & Property
Doda,33.14575,75.548049,Bombing,Private Citizens & Property
East singhbhum,22.486676,86.499655,Armed Assault,Private Citizens & Property
Lalgarh,27.519994,73.910179,Armed Assault,Private Citizens & Property
Lalgarh,27.519994,73.910179,Armed Assault,Government
Khammam,17.247253,80.151445,Armed Assault,Private Citizens & Property
Saran,25.709973,73.837495,Infrastructure Attack,Transportation
Muzaffarpur,26.120888,85.36472,Bombing,Transportation
Malkangiri,18.343586,81.882528,Bombing,Private Citizens & Property
Koraput,18.813487,82.712333,Infrastructure Attack,Government
Bijapur,16.830171,75.710031,Bombing,Police
Midnapore,22.430889,87.321491,Armed Assault,Government
Narayanpur,26.95179,93.859168,Armed Assault,Police
Visakhapatnam,17.686816,83.218482,Assassination,Government
Vishakhapatnam,17.686816,83.218482,Armed Assault,Private Citizens & Property
Dantewada,18.896863,81.345442,Armed Assault,Police
Gajapati,19.191222,84.185712,Armed Assault,Private Citizens & Property
West Kameng,27.342763,92.302446,Kidnapping,Government
Midnapore,22.430889,87.321491,Armed Assault,Government
Lalgarh,27.519994,73.910179,Bombing,Transportation
Puruliya,23.332078,86.365208,Armed Assault,Private Citizens & Property
Midnapore,22.430889,87.321491,Kidnapping,Private Citizens & Property
Gaya,24.795452,84.999431,Infrastructure Attack,Business
Kandhamal,20.134204,84.016742,Infrastructure Attack,Business
Malkangiri,18.343586,81.882528,Bombing,Government
Hyderabad,17.385044,78.486671,Armed Assault,Police
Gadchiroli,20.184871,79.994796,Armed Assault,Private Citizens & Property
Midnapore,22.430889,87.321491,Kidnapping,Private Citizens & Property
Raj Nandgaon,21.097103,81.030222,Kidnapping,Private Citizens & Property
Malkangiri,18.343586,81.882528,Armed Assault,Police
Dantewada,18.896863,81.345442,Bombing,Transportation
Simdega,22.615114,84.495999,Armed Assault,Government
Gaya,24.795452,84.999431,Bombing,Transportation
Senapati,25.267728,94.021019,Bombing,Transportation
Malkangiri,18.343586,81.882528,Bombing,Government
Midnapore,22.430889,87.321491,Bombing,Transportation
Midnapore,22.430889,87.321491,Bombing,Police
Midnapore,22.430889,87.321491,Kidnapping,Government
Rayagada,19.171209,83.416323,Bombing,Government
Sheohar,26.514587,85.294231,Infrastructure Attack,Private Citizens & Property
Midnapore,22.430889,87.321491,Armed Assault,Transportation
Midnapore,22.430889,87.321491,Kidnapping,Private Citizens & Property
Bijapur,16.830171,75.710031,Kidnapping,Private Citizens & Property
Bijapur,16.830171,75.710031,Kidnapping,Private Citizens & Property
Bijapur,16.830171,75.710031,Kidnapping,Private Citizens & Property
Midnapore,22.430889,87.321491,Kidnapping,Private Citizens & Property
Kanker,20.272713,81.48831,Infrastructure Attack,Business
Midnapore,22.430889,87.321491,Armed Assault,Journalists & Media
Salbani,22.642257,87.319007,Armed Assault,Private Citizens & Property
Dantewada,18.896863,81.345442,Armed Assault,Government
Midnapore,22.430889,87.321491,Armed Assault,Private Citizens & Property
Midnapore,22.430889,87.321491,Armed Assault,Government
Midnapore,22.430889,87.321491,Kidnapping,Private Citizens & Property
Gadchiroli,20.184871,79.994796,Armed Assault,Police
Belpahari,22.632073,86.764262,Armed Assault,Private Citizens & Property
Palamau,21.958024,78.886385,Bombing,Police
Malkangiri,18.343586,81.882528,Bombing,Government
Puruliya,23.332078,86.365208,Armed Assault,Private Citizens & Property
Senapati,25.267728,94.021019,Infrastructure Attack,Government
Jabalpur,23.181467,79.986407,Infrastructure Attack,Business
Midnapore,22.430889,87.321491,Kidnapping,Private Citizens & Property
Bijapur,16.830171,75.710031,Infrastructure Attack,Government
Ranchi,23.3441,85.309562,Bombing,Private Citizens & Property
Ranchi,23.3441,85.309562,Bombing,Government
Midnapore,22.430889,87.321491,Armed Assault,Private Citizens & Property
Gaya,24.795452,84.999431,Infrastructure Attack,Business
Dantewada,18.896863,81.345442,Bombing,Police
Tiruchirappalli,10.790483,78.704673,Bombing,Transportation
Bokaro,23.669296,86.151112,Kidnapping,Private Citizens & Property
Midnapore,22.430889,87.321491,Kidnapping,Private Citizens & Property
Rohtas,24.628741,83.920166,Armed Assault,Police
Gaya,24.795452,84.999431,Armed Assault,Transportation
Jamui,24.919515,86.224718,Infrastructure Attack,Business
Malkangiri,18.343586,81.882528,Armed Assault,Military
Chatra,24.206508,84.872428,Infrastructure Attack,Business
Dibrugarh,27.472833,94.911962,Infrastructure Attack,Business
East singhbhum,22.486676,86.499655,Armed Assault,Private Citizens & Property
East singhbhum,22.486676,86.499655,Armed Assault,Government
East singhbhum,22.486676,86.499655,Armed Assault,Private Citizens & Property
Dantewada,18.896863,81.345442,Bombing,Police
Midnapore,22.430889,87.321491,Kidnapping,Educational Institution
Midnapore,22.430889,87.321491,Kidnapping,Private Citizens & Property
Bankura,23.232415,87.078604,Infrastructure Attack,Government
Malkangiri,18.343586,81.882528,Bombing,Police
Sundargarh,22.124003,84.043175,Bombing,Transportation
Bastar,19.203677,81.934385,Armed Assault,Private Citizens & Property
Simdega,22.615114,84.495999,Armed Assault,Terrorists/Non-State Militia
Garwah,24.154898,83.799562,Kidnapping,Private Citizens & Property
Narayanpur,26.95179,93.859168,Armed Assault,Police
Khunti,23.07976,85.277421,Kidnapping,Private Citizens & Property
Bijapur,16.830171,75.710031,Bombing,Police
Midnapore,22.430889,87.321491,Armed Assault,Police
Tinsukia,27.492191,95.346775,Armed Assault,Business
Narayanpur,26.95179,93.859168,Armed Assault,Private Citizens & Property
Palamau,21.958024,78.886385,Bombing,Educational Institution
Imphal,24.817011,93.936844,Bombing,Business
Aurangabad,19.876165,75.343314,Kidnapping,Private Citizens & Property
Keonjhar,21.51512,85.684578,Armed Assault,Private Citizens & Property
Imphal,24.817011,93.936844,Bombing,Government
Bastar,19.203677,81.934385,Bombing,Transportation
Gadchiroli,20.184871,79.994796,Infrastructure Attack,Transportation
Kalimela,17.836479,81.427212,Bombing,Government
Imphal,24.817011,93.936844,Bombing,Business
Malkangiri,18.343586,81.882528,Bombing,Educational Institution
Murshidabad,24.175904,88.280179,Armed Assault,Police
Keonjhar,21.51512,85.684578,Kidnapping,Police
Kokrajhar,26.401436,90.266699,Bombing,Transportation
Dantewada,18.896863,81.345442,Armed Assault,Police
Dantewada,18.896863,81.345442,Assassination,Government
Dhanbad,23.795653,86.430386,Bombing,Transportation
Latehar,23.746322,84.50911,Bombing,Transportation
Lalgarh,27.519994,73.910179,Assassination,Government
Bijapur,16.830171,75.710031,Bombing,Police
Koraput,18.813487,82.712333,Armed Assault,Business
Malkangiri,18.343586,81.882528,Bombing,Telecommunication
Midnapore,22.430889,87.321491,Kidnapping,Government
Dantewada,18.896863,81.345442,Infrastructure Attack,Business
Puruliya,23.332078,86.365208,Assassination,Government
Dantewada,18.896863,81.345442,Armed Assault,Police
Dantewada,18.896863,81.345442,Armed Assault,Police
Dantewada,18.896863,81.345442,Armed Assault,Police
Dantewada,18.896863,81.345442,Armed Assault,Police
Dantewada,18.896863,81.345442,Armed Assault,Police
Dantewada,18.896863,81.345442,Armed Assault,Police
Midnapore,22.430889,87.321491,Kidnapping,Private Citizens & Property
Mayurbhanj,22.008698,86.418731,Armed Assault,Private Citizens & Property
Midnapore,22.430889,87.321491,Assassination,Government
Guwahati,26.144517,91.736237,Bombing,Private Citizens & Property
Narayanpur,26.95179,93.859168,Bombing,Police
Bankura,23.232415,87.078604,Armed Assault,Government
Midnapore,22.430889,87.321491,Armed Assault,Private Citizens & Property
Golaghat,26.523852,93.962337,Bombing,Transportation
East Champaran,26.609814,84.856793,Bombing,Educational Institution
Dantewada,18.896863,81.345442,Armed Assault,Private Citizens & Property
Latehar,23.746322,84.50911,Bombing,Police
Puruliya,23.332078,86.365208,Kidnapping,Government
East singhbhum,22.486676,86.499655,Infrastructure Attack,Business
Imphal,24.817011,93.936844,Bombing,Private Citizens & Property
Kishtwar,33.519359,75.899867,Kidnapping,Business
Bijapur,16.830171,75.710031,Assassination,Police
Bijapur,16.830171,75.710031,Hijacking,Transportation
Midnapore,22.430889,87.321491,Armed Assault,Educational Institution
Midnapore,22.430889,87.321491,Armed Assault,Private Citizens & Property
Chirang,26.538662,90.693912,Armed Assault,Military
Midnapore,22.430889,87.321491,Bombing,Transportation
Dantewada,18.896863,81.345442,Infrastructure Attack,Business
Goalpara,26.164134,90.625154,Bombing,Police
Latehar,23.746322,84.50911,Kidnapping,Government
Imphal,24.817011,93.936844,Armed Assault,Business
Giridih,24.182139,86.286951,Bombing,Government
Latehar,23.746322,84.50911,Assassination,Government
Sundargarh,22.124003,84.043175,Bombing,Transportation
Medinipur,22.430889,87.321491,Kidnapping,Private Citizens & Property
East Singhbhum,22.486676,86.499655,Armed Assault,Government
Lohardaga,23.440933,84.684522,Infrastructure Attack,Business
Dhalai district,23.846698,91.909924,Bombing,Military
Palamau,21.958024,78.886385,Bombing,Educational Institution
Rajouri,33.371715,74.315313,Assassination,Military
Malkangiri,18.343586,81.882528,Bombing,Government
Midnapore,22.430889,87.321491,Kidnapping,Government
Kotwali,17.590087,73.456324,Armed Assault,Private Citizens & Property
Midnapore,22.430889,87.321491,Infrastructure Attack,Private Citizens & Property
Salbani,22.642257,87.319007,Bombing,Transportation
Dantewada,18.896863,81.345442,Infrastructure Attack,Business
Malkangiri,18.343586,81.882528,Bombing,Educational Institution
Midnapore,22.430889,87.321491,Kidnapping,Private Citizens & Property
Dantewada,18.896863,81.345442,Bombing,Government
East Singhbhum,22.486676,86.499655,Armed Assault,Business
East Singhbhum,22.486676,86.499655,Bombing,Educational Institution
Sopor,34.286763,74.462401,Armed Assault,Government
Tamenglong,24.987934,93.495292,Kidnapping,Terrorists/Non-State Militia
Sivasagar,26.98261,94.642452,Armed Assault,Police
Gadchiroli,20.184871,79.994796,Infrastructure Attack,Private Citizens & Property
Puruliya,23.332078,86.365208,Kidnapping,Private Citizens & Property
Koraput,18.813487,82.712333,Kidnapping,Private Citizens & Property
Koraput,18.813487,82.712333,Kidnapping,Private Citizens & Property
Midnapore,22.430889,87.321491,Infrastructure Attack,Private Citizens & Property
Lakhisarai,25.167361,86.098825,Armed Assault,Police
Sheohar,26.514587,85.294231,Kidnapping,Government
Kanker,20.272713,81.48831,Armed Assault,Police
Koraput,18.813487,82.712333,Assassination,Government
Khunti,23.07976,85.277421,Unarmed Assault,Private Citizens & Property
Midnapore,22.430889,87.321491,Armed Assault,Private Citizens & Property
Latehar,23.746322,84.50911,Armed Assault,Private Citizens & Property
Midnapore,22.430889,87.321491,Armed Assault,Private Citizens & Property
Dantewada,18.896863,81.345442,Armed Assault,Police
Midnapore,22.430889,87.321491,Armed Assault,Educational Institution
Midnapore,22.430889,87.321491,Armed Assault,Private Citizens & Property
Karbi Anglong,26.186085,93.581269,Armed Assault,Business
Gaya,24.795452,84.999431,Kidnapping,Private Citizens & Property
Malkangiri,18.343586,81.882528,Bombing,Government
Udalguri,26.746018,92.095943,Bombing,Transportation
Garwah,24.154898,83.799562,Armed Assault,Private Citizens & Property
Midnapore,22.430889,87.321491,Armed Assault,Government
Gaya,24.795452,84.999431,Infrastructure Attack,Private Citizens & Property
Malkangiri,18.343586,81.882528,Bombing,Government
Visakhapatnam,17.686816,83.218482,Infrastructure Attack,Transportation
Garwah,24.154898,83.799562,Armed Assault,Private Citizens & Property
Lalgarh,27.519994,73.910179,Armed Assault,Private Citizens & Property
Midnapore,22.430889,87.321491,Armed Assault,Private Citizens & Property
Midnapore,22.430889,87.321491,Bombing,Government
Dantewada,18.896863,81.345442,Armed Assault,Police
Giridih,24.182139,86.286951,Bombing,Transportation
Hazaribag,23.996621,85.369107,Infrastructure Attack,Business
Imphal,24.817011,93.936844,Kidnapping,Government
Gaya,24.795452,84.999431,Infrastructure Attack,Telecommunication
Muzaffarpur,26.120888,85.36472,Bombing,Transportation
Sundargarh,22.124003,84.043175,Kidnapping,Private Citizens & Property
Midnapore,22.430889,87.321491,Armed Assault,Private Citizens & Property
Sheohar,26.514587,85.294231,Infrastructure Attack,Transportation
Dantewada,18.896863,81.345442,Infrastructure Attack,Business
Gadchiroli,20.184871,79.994796,Kidnapping,Private Citizens & Property
Gadchiroli,20.184871,79.994796,Kidnapping,Private Citizens & Property
Karimganj,24.864913,92.359153,Armed Assault,Business
Raj Nandgaon,21.097103,81.030222,Kidnapping,Private Citizens & Property
Koraput,18.813487,82.712333,Armed Assault,Private Citizens & Property
Malkangiri,18.343586,81.882528,Kidnapping,Private Citizens & Property
Kaimur,24.908055,83.532339,Armed Assault,Private Citizens & Property
New Delhi,28.613939,77.209021,Bombing,Telecommunication
Imphal,24.817011,93.936844,Bombing,Business
Koraput,18.813487,82.712333,Armed Assault,Private Citizens & Property
Midnapore,22.430889,87.321491,Armed Assault,Government
Midnapore,22.430889,87.321491,Bombing,Government
Jamui,24.919515,86.224718,Armed Assault,Violent Political Party
Bijapur,16.830171,75.710031,Armed Assault,Business
Karimnagar,18.438555,79.128841,Kidnapping,Private Citizens & Property
Bishenpur,25.60787,82.849254,Bombing,Government
Midnapore,22.430889,87.321491,Armed Assault,Educational Institution
Imphal,24.817011,93.936844,Bombing,Government
Imphal,24.817011,93.936844,Bombing,Government
Midnapore,22.430889,87.321491,Bombing,Private Citizens & Property
Gumla,23.04413,84.537945,Armed Assault,Private Citizens & Property
Midnapore,22.430889,87.321491,Infrastructure Attack,Government
Midnapore,22.430889,87.321491,Bombing,Business
Visakhapatnam,17.686816,83.218482,Armed Assault,Private Citizens & Property
Koraput,18.813487,82.712333,Assassination,Government
Koraput,18.813487,82.712333,Kidnapping,Government
Ranchi,23.3441,85.309562,Bombing,Educational Institution
Ukhrul,25.095386,94.361652,Bombing,Private Citizens & Property
Sundargarh,22.124003,84.043175,Armed Assault,Private Citizens & Property
Dantewada,18.896863,81.345442,Armed Assault,Police
Gadchiroli,20.184871,79.994796,Armed Assault,Private Citizens & Property
Gadchiroli,20.184871,79.994796,Armed Assault,Government
