Sikh Extremists,Sirhind,30.615964,76.381092
Khalistan Commando Force,Sohal,32.493819,75.254869
Gurkha National Liberation Front (GNLF),Sonada,26.959944,88.268017
Gurkha National Liberation Front (GNLF),Sonda,26.449519,91.488302
Sikh Extremists,Sonepat,28.928774,77.091281
Sikh Extremists,Sotha,20.593684,78.96288
Sikh Extremists,Sriganganagar,29.90384,73.87719
Muslim Militants,Srinagar,34.125541,74.944258
Muslim Separatists,Srinagar,34.125541,74.944258
pro-pakistani militants,srinagar,34.125541,74.944258
Sikh Extremists,Srinagar,34.125541,74.944258
Allah's Tigers,Srinigar,34.125541,74.944258
Jammu and Kashmir Liberation Front,Srinigar,34.125541,74.944258
Kashmiri Militants,srinigar,34.125541,74.944258
Muslim Militants,srinigar,34.125541,74.944258
Gurkha National Liberation Front (GNLF),Sukhia Pokhri,27.006998,88.245256
Sikh Extremists,Sultanpuri Lodhi (Kapurthala District),31.214128,75.195393
Naxalites,Suravaram,16.633654,80.859919
Sikh Extremists,Takhtuchak,31.501589,75.085936
Khalistan Commando Force,Talwandi Rai Dadoo,31.863182,74.724928
National Socialist Council of Nagaland,Tamenglong,24.987934,93.495292
Sikh Extremists,Taran Taran,26.167993,87.54926
Sikh Extremists,Tarn Taran,31.461673,74.926723
Bhinderanwale Tiger Force of Khalistan (BTHK),Tarntaran,31.461673,74.926723
Kisar Liberation Movement,Thiruvaiyaru,10.88238,79.103435
Sikh Extremists,Tikkapur,27.71987,77.952092
Mizo National Front,Tipaimukh,24.2355,93.025391
Naxalites,Tirupatur,11.108524,77.341066
Extremists,township of Mansa,17.46276,78.350254
Liberation Tigers of Tamil Eelam (LTTE),Tricomalee,8.643817,81.075466
Anti-Socials,Tripura,23.940848,91.988153
Tribal Separatists,Tripura,23.940848,91.988153
Tripura National Volunteers (TNV),Tripura,23.940848,91.988153
Tripura Nationalists,Tripura (in Baramura),23.313587,91.705232
Communist Party of India,tripura state,23.840784,91.284815
Sikh Extremists,Tripura State,23.840784,91.284815
Tripura National Volunteers (TNV),Tripura state,23.840784,91.284815
Bodo Militants,Udalgiri,26.746018,92.095943
Bodo Militants,Udalgiri area,26.547895,92.192316
Sikh Extremists,Udhoke,31.733245,75.182262
Sikh Extremists,UNK,30.066753,79.0193
Muslim Militants,uri,34.088117,74.033985
Khalistan Commando Force,Urmartanda,31.678975,75.638266
Sikh Extremists,Urmur Danda,31.678975,75.638266
Sikh Extremists,Uttar Pradesh State,26.472096,83.785726
Sikh Extremists,Vadala Kalan,31.362274,75.441028
Sikh Extremists,Vanala,22.436707,71.921609
Sikh Extremists,Vdhamsingh Nagar,28.960965,79.515377
Sikh Extremists,Vijaypura,13.295537,77.800987
Sikh Extremists,Wear Amritsar,31.633979,74.872264
Naxalites,West Bengal,22.986757,87.854976
Sikh Extremists,Yamunanagar,30.129049,77.26739
Sikh Extremists,Zhanewal,29.886653,76.019607
