source,target,CountOfattacktype1_txt
Nalbari D. Assam S.,Bombing/Explosion,2
Nalbari District,Hostage Taking (Kidnapping),1
Nalli,Bombing/Explosion,1
Nanded,Armed Assault,1
"Nandyai, Andhra Pradesh",Bombing/Explosion,2
Nandyal District,Bombing/Explosion,1
Nanngal Labana,Assassination,1
Narayanpur,Armed Assault,1
Narbal,Bombing/Explosion,1
Natunbazar,Armed Assault,1
Nawapind Shokian,Assassination,1
"Nayabasti V., Assam",Armed Assault,1
NE Manipur State,Assassination,1
Nehalpora Pattan,Bombing/Explosion,1
New Delhi,Armed Assault,1
New Delhi,Assassination,2
New Delhi,Bombing/Explosion,49
New Delhi,Facility/Infrastructure Attack,2
New Delhi,Hostage Taking (Kidnapping),1
New Delhi - Jammu,Hijacking,1
New Deli,Bombing/Explosion,2
New Jalpaiguri,Bombing/Explosion,1
Ningthoukom,Armed Assault,1
Nizamabad Dist,Assassination,1
Nizamabad Dist,Bombing/Explosion,1
Nizamabad District,Bombing/Explosion,1
Noorpura,Bombing/Explosion,1
North Cachar District,Armed Assault,1
Not Stated,Hostage Taking (Kidnapping),1
Nowgam,Bombing/Explosion,1
Nowpora,Assassination,1
Ongole,Assassination,1
Orissa State,Assassination,1
Pahalgam,Bombing/Explosion,4
Pahalgam,Hostage Taking (Kidnapping),1
Paidimalgu,Facility/Infrastructure Attack,1
Pakistan Border,Armed Assault,1
Palampur Village,Bombing/Explosion,1
Palapora,Bombing/Explosion,2
"Pallanwala Sector, Jammu",Bombing/Explosion,1
Pampore,Armed Assault,1
Pampore,Hostage Taking (Kidnapping),1
Panalgam,Bombing/Explosion,2
Panchavati,Armed Assault,1
Pandori Barach,Assassination,1
Panipat,Assassination,1
Panipat,Bombing/Explosion,3
Panjipora,Armed Assault,1
Panjwar,Assassination,1
Panligam,Armed Assault,1
Parmandal,Bombing/Explosion,1
Pastoon,Bombing/Explosion,1
Patacharkuchi,Armed Assault,1
"Patakota, J+K",Armed Assault,1
Patan,Bombing/Explosion,1
Pathankot,Bombing/Explosion,5
Patiala,Armed Assault,1
Patiala,Assassination,2
Patiala,Bombing/Explosion,2
Patiala,Hostage Taking (Kidnapping),1
Patiala District,Armed Assault,1
Patiala District,Assassination,1
Patiala district,Bombing/Explosion,1
Patna,Bombing/Explosion,1
Pattan,Bombing/Explosion,1
"Pattan, Kashmir",Bombing/Explosion,1
Patti Town,Bombing/Explosion,1
Payal,Assassination,1
Perumagauda,Bombing/Explosion,1
Phaizol Kuki,Armed Assault,1
Phepima,Assassination,1
Pilakhua Town,Bombing/Explosion,1
Pilibhit,Armed Assault,2
Pilibhut,Armed Assault,1
"Pinjara, J+K",Armed Assault,1
Pishikash,Armed Assault,1
"Plantan Village, Jammu",Bombing/Explosion,5
Poona,Bombing/Explosion,2
Poonch District,Armed Assault,1
Poonthura,Armed Assault,1
Pragpur,Assassination,1
Puhroo,Armed Assault,1
Pul Dora,Hostage Taking (Kidnapping),1
Pulwama,Armed Assault,4
Pulwama,Bombing/Explosion,2
"Pulwama D., J+K",Assassination,1
Pulwama Town,Assassination,1
"Pulwama, J&K",Hostage Taking (Kidnapping),1
Punch,Armed Assault,1
Punjab State,Armed Assault,1
Punjab State,Assassination,8
Punjab State,Bombing/Explosion,2
Punjab State,Hostage Taking (Kidnapping),2
Purbarama Chandraghat,Armed Assault,1
Purulia,Armed Assault,1
Qazi Kund,Assassination,1
Qazigunj Township,Assassination,1
Rae Bareli,Bombing/Explosion,1
Raishyabari,Bombing/Explosion,1
Raisinghnagar,Armed Assault,1
Raiya,Armed Assault,1
Rajampet,Bombing/Explosion,1
Rajaori,Bombing/Explosion,1
Rajapalayam,Assassination,3
"Rajapalayam, Madras State",Assassination,1
Rajasthan,Bombing/Explosion,1
Rajauri,Bombing/Explosion,1
Rajnandgaon,Bombing/Explosion,1
Rajoke,Armed Assault,1
Rajouri,Armed Assault,1
Rajouri District,Bombing/Explosion,1
Rajouri Kadal,Bombing/Explosion,1
Rajpora,Bombing/Explosion,1
"Rakhaldubi, Assam",Bombing/Explosion,1
Ramavaram,Bombing/Explosion,1
Ramban,Assassination,1
Ramlal Village,Armed Assault,1
Rampur District,Armed Assault,2
Rampur District,Assassination,2
Rampura,Armed Assault,1
"Ranaput, Andhra Pradesh",Bombing/Explosion,1
Ranchi,Armed Assault,1
Ranchi,Bombing/Explosion,1
Rangiya,Armed Assault,1
Rangiya,Bombing/Explosion,1
"Rathani Tola V, Bihar S,",Armed Assault,1
Ratzul,Armed Assault,1
Raya Morh,Bombing/Explosion,1
Rohtak,Bombing/Explosion,2
Ropar,Armed Assault,1
"Ropar D., Punjab",Armed Assault,1
Ropar District,Assassination,1
Rudrapur Town,Bombing/Explosion,1
Rue Kalan,Assassination,1
Rupar,Armed Assault,1
Ruriwala,Armed Assault,1
"Saderkoot V., J+K State",Armed Assault,1
Safakadal,Bombing/Explosion,1
Safapura,Bombing/Explosion,1
Safaqadal,Armed Assault,1
Sailen,Armed Assault,1
Salakati,Bombing/Explosion,1
Samana,Bombing/Explosion,1
Samana Town,Armed Assault,1
Sandhan,Armed Assault,1
Sanga,Assassination,1
Sangam,Armed Assault,2
Sangma,Armed Assault,1
Sangrampur,Armed Assault,1
Sangrur,Bombing/Explosion,1
Sangrur,Facility/Infrastructure Attack,12
Sangrur District,Assassination,6
Sangur,Assassination,1
"Sansapani, Assam",Bombing/Explosion,1
Saphermaina,Armed Assault,1
Sapore,Armed Assault,1
Sapore,Bombing/Explosion,1
Saraikhola,Bombing/Explosion,1
Saregara Village,Armed Assault,1
Sasundi,Assassination,1
Satrandi,Armed Assault,1
Seinagar,Bombing/Explosion,1
Sepapani Village,Bombing/Explosion,1
Sepore,Armed Assault,1
Shahbaajpur,Bombing/Explosion,1
Shahpur Jhajhan,Armed Assault,1
Shillong,Armed Assault,1
Shingiari Chowk,Armed Assault,1
Shopian,Armed Assault,2
Shopian,Hijacking,1
Siala,Armed Assault,1
"Sibsagar D., Assam",Bombing/Explosion,1
